"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"형법범",풍속범죄,신앙,463,-,-,-,-,-,2,199,262,449,-,-,-,-,-,3,183,263,503,-,-,-,-,-,1,210,292,526,1,-,-,1,-,2,174,349,967,0,0,0,0,0,0,327,640,1007,-,-,-,-,-,1,355,651,303,2,-,1,1,-,1,96,204,365,-,-,-,-,-,1,119,245
"형법범",풍속범죄,기타음란행위,1401,-,-,-,-,-,100,1193,108,1623,5,3,-,2,-,129,1372,117,1983,4,1,-,3,-,142,1652,185,2497,-,-,-,-,-,206,2061,230,2067,3,1,0,2,0,179,1638,247,2354,1,1,-,-,-,200,1881,272,2107,2,-,1,1,-,198,1670,237,2042,3,2,-,1,-,154,1653,232
"형법범",과실범죄,소계,8371,5,2,-,3,1,120,6142,2103,8962,-,-,-,-,-,78,6466,2418,9358,1,-,-,1,-,71,6827,2459,10184,1,1,-,-,-,63,7224,2896,10488,5,0,1,4,0,132,7142,3209,11169,1,1,-,-,1,117,7440,3610,10987,2,1,-,1,-,92,7366,3527,9522,-,-,-,-,-,86,6684,2752
"형법범",과실범죄,과실치사상,1972,3,2,-,1,-,70,1146,753,2182,-,-,-,-,-,47,1295,840,2337,-,-,-,-,-,32,1380,925,2666,1,1,-,-,-,41,1481,1143,2884,2,0,1,1,0,80,1574,1228,3216,-,-,-,-,-,81,1766,1369,2891,1,1,-,-,-,57,1699,1134,2523,-,-,-,-,-,45,1504,974
"형법범",과실범죄,업무상과실치사상,4738,2,-,-,2,-,10,3473,1253,4975,-,-,-,-,-,2,3508,1465,5160,-,-,-,-,-,1,3744,1415,5441,-,-,-,-,-,1,3811,1629,5588,2,0,0,2,0,7,3762,1817,5845,1,1,-,-,-,3,3761,2080,5966,-,-,-,-,-,2,3773,2191,5147,-,-,-,-,-,5,3542,1600
"형법범",과실범죄,실화,1661,-,-,-,-,1,40,1523,97,1805,-,-,-,-,-,29,1663,113,1861,1,-,-,1,-,38,1703,119,2077,-,-,-,-,-,21,1932,124,2016,1,0,0,1,0,45,1806,164,2108,-,-,-,-,1,33,1913,161,2130,1,-,-,1,-,33,1894,202,1852,-,-,-,-,-,36,1638,178
"형법범",기타형법범죄,소계,112469,32,10,3,19,5,7933,63947,40552,118834,39,15,1,23,-,6627,65210,46958,122536,21,8,1,12,6,6293,67930,48286,115810,23,9,1,13,7,5950,61075,48755,121287,42,13,7,22,4,6390,58978,55873,125488,28,9,7,12,2,6316,61310,57832,121920,26,8,3,15,3,6051,59020,56820,100017,34,6,3,25,-,4956,50849,44178
"형법범",기타형법범죄,명예,32302,5,2,1,2,-,1089,16930,14278,36983,3,1,-,2,-,626,18087,18267,36646,3,3,-,-,1,502,16862,19278,32511,-,-,-,-,2,468,14775,17266,35311,7,5,1,1,0,538,14900,19866,37143,4,2,-,2,-,531,15560,21048,37641,2,1,-,1,-,404,15323,21912,33521,3,2,-,1,-,359,14223,18936
"형법범",기타형법범죄,권리행사방해,6994,1,-,-,1,-,6,2514,4473,8475,1,-,-,1,-,3,3019,5452,10594,-,-,-,-,-,2,3966,6626,13256,3,1,-,2,-,8,4959,8286,14597,6,3,1,2,1,5,4591,9994,13428,5,1,-,4,-,5,3737,9681,10314,2,2,-,-,-,5,2750,7557,6622,1,-,-,1,-,3,2111,4507
"형법범",기타형법범죄,신용업무경매,28713,3,2,-,1,-,2971,18624,7115,30360,8,4,1,3,-,2882,19372,8098,31485,7,2,-,5,-,2848,20509,8121,29309,6,1,1,4,-,2710,18447,8146,30587,7,1,1,5,0,2970,17758,9852,31547,3,1,2,-,-,2775,18210,10559,30595,3,1,-,2,-,2576,17263,10753,22560,1,-,-,1,-,1822,12894,7843
